group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
40R_40V_02F_06M;LR1_2_1;0.048;0.0;0.5556;0.5;0.25;1.0;0.475
40R_40V_02F_06M;LR1_2_2;0.2932;0.0188;0.4815;0.5028;0.2528;0.1111;0.425
40R_40V_02F_06M;LR1_2_3;0.0268;0.0;0.5309;0.5022;0.2522;0.3086;0.475
40R_40V_02F_06M;LR1_2_4;0.0766;0.006;0.4938;0.5031;0.2531;0.0123;0.5
40R_40V_02F_06M;LR1_2_5;0.0071;0.0;0.5432;0.5012;0.2512;0.6049;0.5
40R_40V_04F_06M;LR1_2_1;0.1806;0.0;1.5432;1.1837;1.4012;2.5062;0.85
40R_40V_04F_06M;LR1_2_2;0.112;0.0062;1.2716;1.162;1.3503;5.1728;0.8
40R_40V_04F_06M;LR1_2_3;0.0566;0.0;1.642;1.1436;1.3077;1.6173;0.8
40R_40V_04F_06M;LR1_2_4;0.0714;0.006;1.5802;1.1712;1.3716;1.6173;0.725
40R_40V_04F_06M;LR1_2_5;0.0482;0.006;1.4815;1.0853;1.1778;1.5185;0.825
60R_60V_02F_06M;LR1_2_1;0.0694;0.0083;0.4793;0.5017;0.2517;0.2066;0.4667
60R_60V_02F_06M;LR1_2_2;0.1351;0.0075;0.4545;0.5;0.25;1.0;0.55
60R_60V_02F_06M;LR1_2_3;0.1701;0.008;0.4876;0.5019;0.2519;0.0744;0.6833
60R_60V_02F_06M;LR1_2_4;0.0081;0.0;0.4628;0.5007;0.2507;0.6694;0.5
60R_60V_02F_06M;LR1_2_5;0.0317;0.004;0.4711;0.5012;0.2512;0.405;0.4833
60R_60V_04F_06M;LR1_2_1;0.3419;0.0075;1.4711;1.1696;1.3679;1.6116;0.75
60R_60V_04F_06M;LR1_2_2;0.2012;0.0067;1.2479;1.2061;1.4547;14.1074;0.75
60R_60V_04F_06M;LR1_2_3;0.2173;0.0153;1.6777;1.1634;1.3536;6.3058;0.8
60R_60V_04F_06M;LR1_2_4;0.0516;0.004;1.4876;1.184;1.4019;3.1322;0.75
60R_60V_04F_06M;LR1_2_5;0.185;0.0113;1.3636;1.1106;1.2333;1.8099;0.6833
