group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02F_04M;lr201;0.0035;0.0;0.1538;0.3755;0.141;6.2308;0.3333
06R_06V_02F_04M;lr202;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02F_04M;lr203;0.0;0.0;0.6923;0.4804;0.2308;1.9231;0.5
06R_06V_02F_04M;lr204;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.3333
06R_06V_02F_04M;lr205;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.3333
06R_06V_04F_04M;lr201;0.0064;0.0;1.2308;1.0919;1.1923;6.3846;0.5
06R_06V_04F_04M;lr202;0.0;0.0;1.1538;0.9871;0.9744;2.0769;0.5
06R_06V_04F_04M;lr203;0.0;0.0;1.6154;1.2609;1.5897;2.6923;0.5
06R_06V_04F_04M;lr204;0.0;0.0;0.9231;1.1152;1.2436;4.5385;0.6667
06R_06V_04F_04M;lr205;0.0;0.0;1.2308;1.2352;1.5256;1.4615;0.5
08R_08V_02F_04M;lr201;0.0;0.0;0.2941;0.4697;0.2206;2.8824;0.375
08R_08V_02F_04M;lr202;0.0;0.0;0.4118;0.5073;0.2574;0.5294;0.375
08R_08V_02F_04M;lr203;0.0;0.0;0.6471;0.4926;0.2426;1.4706;0.625
08R_08V_02F_04M;lr204;0.0;0.0;0.2941;0.4697;0.2206;2.8824;0.125
08R_08V_02F_04M;lr205;0.0;0.0;0.4706;0.5145;0.2647;0.0588;0.5
08R_08V_04F_04M;lr201;0.0035;0.0;1.3529;0.9315;0.8676;5.8235;0.75
08R_08V_04F_04M;lr202;0.0;0.0;1.2353;1.1472;1.3162;1.1176;0.75
08R_08V_04F_04M;lr203;0.0;0.0;1.8235;1.1851;1.4044;2.5294;0.875
08R_08V_04F_04M;lr204;0.0;0.0;1.0;1.118;1.25;4.8824;0.625
08R_08V_04F_04M;lr205;0.0;0.0;1.4118;1.1757;1.3824;0.1765;0.875
10R_10V_02F_04M;lr201;0.0023;0.0;0.381;0.4976;0.2476;1.1905;0.6
10R_10V_02F_04M;lr202;0.0;0.0;0.381;0.4976;0.2476;1.1905;0.4
10R_10V_02F_04M;lr203;0.0;0.0;0.619;0.4976;0.2476;1.1905;0.5
10R_10V_02F_04M;lr204;0.0;0.0;0.2857;0.4629;0.2143;3.8571;0.4
10R_10V_02F_04M;lr205;0.0;0.0;0.5238;0.5118;0.2619;0.0476;0.5
10R_10V_04F_04M;lr201;0.0089;0.0;1.4286;1.0282;1.0571;2.4286;0.7
10R_10V_04F_04M;lr202;0.0;0.0;1.2381;1.0911;1.1905;1.6667;0.9
10R_10V_04F_04M;lr203;0.0;0.0;1.4762;1.167;1.3619;1.6667;0.8
10R_10V_04F_04M;lr204;0.0;0.0;1.1429;1.0623;1.1286;4.3333;0.9
10R_10V_04F_04M;lr205;0.0006;0.0209;1.6667;1.1972;1.4333;0.9048;0.7
12R_12V_02F_04M;lr201;0.0;0.0;0.48;0.5099;0.26;0.04;0.3333
12R_12V_02F_04M;lr202;0.0;0.0;0.48;0.5099;0.26;0.04;0.3333
12R_12V_02F_04M;lr203;0.0;0.0;0.6;0.5;0.25;1.0;0.25
12R_12V_02F_04M;lr204;0.0;0.0;0.24;0.4359;0.19;6.76;0.3333
12R_12V_02F_04M;lr205;0.0004;0.0174;0.56;0.5066;0.2567;0.36;0.3333
12R_12V_04F_04M;lr201;0.0058;0.0;1.68;1.0296;1.06;2.04;0.75
12R_12V_04F_04M;lr202;0.0;0.0;1.2;1.0801;1.1667;2.04;0.8333
12R_12V_04F_04M;lr203;0.0;0.0;1.48;1.159;1.3433;1.4;0.5833
12R_12V_04F_04M;lr204;0.0;0.0;1.04;1.0599;1.1233;7.8;0.9167
12R_12V_04F_04M;lr205;0.0004;0.0174;1.52;1.005;1.01;2.36;0.6667
