group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02I_04M;lr101;0.0;0.0;0.1538;0.3755;0.141;6.2308;0.0
06R_06V_02I_04M;lr102;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.16666666666666666
06R_06V_02I_04M;lr103;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.0
06R_06V_02I_04M;lr104;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.16666666666666666
06R_06V_02I_04M;lr105;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.0
06R_06V_04I_04M;lr101;0.0587;0.0349;1.2308;1.0919;1.1923;6.3846;0.16666666666666666
06R_06V_04I_04M;lr102;0.0003;0.0;1.4615;1.2659;1.6026;0.8462;0.5
06R_06V_04I_04M;lr103;0.0;0.0;1.3077;1.1821;1.3974;0.8462;0.16666666666666666
06R_06V_04I_04M;lr104;0.0;0.0;1.6923;1.2506;1.5641;1.4615;0.16666666666666666
06R_06V_04I_04M;lr105;0.0511;0.0;1.5385;1.1983;1.4359;0.8462;0.3333333333333333
08R_08V_02I_04M;lr101;0.0042;0.0;0.5294;0.5145;0.2647;0.0588;0.125
08R_08V_02I_04M;lr102;0.0;0.0;0.4118;0.5073;0.2574;0.5294;0.125
08R_08V_02I_04M;lr103;0.0;0.0;0.5882;0.5073;0.2574;0.5294;0.0
08R_08V_02I_04M;lr104;0.0;0.0;0.5882;0.5073;0.2574;0.5294;0.0
08R_08V_02I_04M;lr105;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.0
08R_08V_04I_04M;lr101;0.021;0.0;1.2353;1.1472;1.3162;4.4118;0.25
08R_08V_04I_04M;lr102;0.0;0.0;1.4118;1.2277;1.5074;2.0588;0.25
08R_08V_04I_04M;lr103;0.0026;0.0;1.5882;1.2277;1.5074;2.0588;0.125
08R_08V_04I_04M;lr104;0.0108;0.0;1.1765;1.2862;1.6544;4.8824;0.125
08R_08V_04I_04M;lr105;0.0643;0.0;1.7059;1.1048;1.2206;0.6471;0.375
10R_10V_02I_04M;lr101;0.018;0.0;0.619;0.4976;0.2476;1.1905;0.1
10R_10V_02I_04M;lr102;0.0382;0.0;0.4286;0.5071;0.2571;0.4286;0.1
10R_10V_02I_04M;lr103;0.0049;0.0;0.619;0.4976;0.2476;1.1905;0.1
10R_10V_02I_04M;lr104;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.0
10R_10V_02I_04M;lr105;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.0
10R_10V_04I_04M;lr101;0.0;0.0;0.8571;1.1084;1.2286;12.7143;0.1
10R_10V_04I_04M;lr102;0.0498;0.0;1.3333;1.0165;1.0333;1.6667;0.4
10R_10V_04I_04M;lr103;0.0;0.0;1.5238;1.167;1.3619;0.5238;0.0
10R_10V_04I_04M;lr104;0.0051;0.0;1.5238;1.2091;1.4619;0.5238;0.2
10R_10V_04I_04M;lr105;0.0203;0.0;1.6667;1.0165;1.0333;1.6667;0.2
12R_12V_02I_04M;lr101;0.0181;0.0;0.64;0.4899;0.24;1.96;0.0
12R_12V_02I_04M;lr102;0.0022;0.0;0.44;0.5066;0.2567;0.36;0.08333333333333333
12R_12V_02I_04M;lr103;0.0016;0.0;0.4;0.5;0.25;1.0;0.16666666666666666
12R_12V_02I_04M;lr104;0.0;0.0;0.52;0.5099;0.26;0.04;0.08333333333333333
12R_12V_02I_04M;lr105;0.0222;0.0;0.64;0.4899;0.24;1.96;0.0
12R_12V_04I_04M;lr101;0.0139;0.0;1.56;1.121;1.2567;6.84;0.08333333333333333
12R_12V_04I_04M;lr102;0.163;0.0;1.32;1.0296;1.06;2.04;0.4166666666666667
12R_12V_04I_04M;lr103;0.0;0.0;1.6;1.0801;1.1667;0.76;0.16666666666666666
12R_12V_04I_04M;lr104;0.029;0.0;1.6;1.1902;1.4167;0.76;0.3333333333333333
12R_12V_04I_04M;lr105;0.0058;0.0;1.6;1.0;1.0;3.96;0.0
