group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
40R_40V_02I_06M;LR1_2_1;0.0814;0.0062;0.4321;0.4985;0.2485;1.4938;0.075
40R_40V_02I_06M;LR1_2_2;0.151;0.0125;0.4938;0.5031;0.2531;0.0123;0.1
40R_40V_02I_06M;LR1_2_3;0.0376;0.0;0.4938;0.5031;0.2531;0.0123;0.1
40R_40V_02I_06M;LR1_2_4;0.0366;0.0;0.5432;0.5012;0.2512;0.6049;0.05
40R_40V_02I_06M;LR1_2_5;0.2802;0.0121;0.4444;0.5;0.25;1.0;0.05
40R_40V_04I_06M;LR1_2_1;0.1697;0.0062;1.4815;1.0737;1.1528;3.0988;0.15
40R_40V_04I_06M;LR1_2_2;0.0644;0.0125;1.3333;1.1068;1.225;2.9012;0.175
40R_40V_04I_06M;LR1_2_3;0.0144;0.0121;1.5432;1.096;1.2012;4.5802;0.2
40R_40V_04I_06M;LR1_2_4;0.0028;0.0;1.4691;1.152;1.3272;5.3704;0.175
40R_40V_04I_06M;LR1_2_5;0.0345;0.006;1.3951;1.0329;1.067;3.4938;0.25
60R_60V_02I_06M;LR1_2_1;0.1714;0.0125;0.405;0.4929;0.243;4.3719;0.0833
60R_60V_02I_06M;LR1_2_2;0.0086;0.0;0.4876;0.5019;0.2519;0.0744;0.0833
60R_60V_02I_06M;LR1_2_3;0.5221;0.0113;0.3554;0.4806;0.231;10.124;0.05
60R_60V_02I_06M;LR1_2_4;0.0096;0.0;0.405;0.4929;0.243;4.3719;0.05
60R_60V_02I_06M;LR1_2_5;0.0014;0.0;0.4298;0.4971;0.2471;2.3884;0.1
60R_60V_04I_06M;LR1_2_1;0.5469;0.0242;1.7107;1.1287;1.274;4.7851;0.25
60R_60V_04I_06M;LR1_2_2;0.4413;0.0158;1.5207;1.1698;1.3683;4.7851;0.2167
60R_60V_04I_06M;LR1_2_3;0.2094;0.004;1.7521;1.1781;1.388;10.5372;0.2667
60R_60V_04I_06M;LR1_2_4;0.0578;0.004;1.3802;1.2333;1.5209;13.4463;0.1333
60R_60V_04I_06M;LR1_2_5;0.0738;0.004;1.4463;1.0951;1.1992;2.0744;0.1667
