group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
50R_50V_02I_06M;LR1_2_1;0.097;0.005;0.3762;0.4869;0.237;6.1881;0.08
50R_50V_02I_06M;LR1_2_2;0.1548;0.01;0.4257;0.4969;0.2469;2.2277;0.06
50R_50V_02I_06M;LR1_2_3;0.1619;0.0048;0.5743;0.4969;0.2469;2.2277;0.08
50R_50V_02I_06M;LR1_2_4;0.009;0.0;0.396;0.4915;0.2416;4.3663;0.08
50R_50V_02I_06M;LR1_2_5;0.2191;0.0097;0.3663;0.4842;0.2345;7.2178;0.06
50R_50V_04I_06M;LR1_2_1;0.2684;0.015;1.3465;1.2364;1.5287;12.9406;0.24
50R_50V_04I_06M;LR1_2_2;0.399;0.018;1.2574;1.1014;1.2131;4.7822;0.24
50R_50V_04I_06M;LR1_2_3;0.0316;0.0;1.5347;1.0636;1.1313;9.1386;0.2
50R_50V_04I_06M;LR1_2_4;0.1133;0.0048;1.4158;1.0795;1.1653;3.2772;0.06
50R_50V_04I_06M;LR1_2_5;0.2566;0.0048;1.5842;1.1599;1.3453;2.0891;0.24
