group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
50R_50V_02I_06M;LR2_2_1;0.0008;0.0;0.5446;0.5005;0.2505;0.802;0.3
50R_50V_02I_06M;LR2_2_2;0.003;0.0;0.4356;0.4983;0.2483;1.6733;0.28
50R_50V_02I_06M;LR2_2_3;0.0;0.0;0.4554;0.5005;0.2505;0.802;0.28
50R_50V_02I_06M;LR2_2_4;0.0;0.0;0.495;0.5025;0.2525;0.0099;0.12
50R_50V_02I_06M;LR2_2_5;0.0002;0.0;0.4455;0.4995;0.2495;1.198;0.3
50R_50V_04I_06M;LR2_2_1;0.0007;0.0;1.703;1.1095;1.2309;8.901;0.34
50R_50V_04I_06M;LR2_2_2;0.0;0.0;1.4851;1.1884;1.4123;2.4851;0.4
50R_50V_04I_06M;LR2_2_3;0.0;0.0;1.4158;1.0887;1.1853;1.0594;0.46
50R_50V_04I_06M;LR2_2_4;0.0;0.0;1.4752;1.1541;1.3319;0.5842;0.44
50R_50V_04I_06M;LR2_2_5;0.0;0.0;1.6238;1.1212;1.257;1.6931;0.46
